year,date,Other_Right,Reform_UKIP,Conservative,Lib_Dem,Labour,SNP,Green,Other_Left
1918,1918-12-14,0.02104965,0,0.403151744,0.290422589,0.264222536,0,0,0.02104965
1922,1922-11-15,0.008875591,0,0.390842465,0.290676014,0.299669192,0,0,0.00980967
1923,1923-12-06,0.004223686,0,0.3783671,0.299435232,0.311982303,0,0,0.005973302
1924,1924-10-29,0.013087154,0,0.458395043,0.181737766,0.342696192,0,0,0.004078427
1929,1929-05-30,0.003546387,0,0.374106699,0.23657672,0.379251143,0,0,0.005818832
1931,1931-10-27,0.005207224,0,0.550767922,0.100822904,0.298103358,0.000882066,0,0.044045498
1935,1935-11-14,0.00467281,0,0.476893678,0.106333969,0.386264722,0,0,0.025795597
1945,1945-07-05,0.008639119,0,0.360248113,0.121098828,0.490669153,0,0,0.019344659
1950,1950-02-23,0.036811446,0,0.396572314,0.093162226,0.46783538,0.000101986,0,0.005516649
1951,1951-10-25,0.038053201,0,0.439634782,0.025968182,0.486887889,0.000259452,0,0.009196494
1955,1955-05-26,0.002316104,0,0.491824066,0.027663963,0.473688137,0.000463822,0,0.004043909
1959,1959-10-08,0.001320424,0,0.487629093,0.06001202,0.446078524,0.000796663,0,0.004163277
1964,1964-10-15,0.00184222,0,0.429431119,0.114055955,0.447886034,0.002370139,0,0.004414533
1966,1966-03-31,0.002573426,0,0.414342138,0.086182605,0.487220914,0.004817473,0,0.004863445
1970,1970-06-18,0.003167046,0,0.461556952,0.076357681,0.438272215,0.011129952,0,0.009516155
1974F,1974-02-28,0.004557393,0,0.386515315,0.197907757,0.380205214,0.020660099,0,0.010154222
1974O,1974-10-10,0.00372969,0,0.367353043,0.187690815,0.402185039,0.029473603,0,0.00956781
1979,1979-05-03,0.005659971,0,0.44871577,0.141316098,0.377787215,0.016518978,0,0.010001968
1983,1983-06-09,0.003316746,0,0.435116955,0.260168473,0.282790349,0.011100629,0,0.007506847
1987,1987-06-11,0.002000296,0,0.432740003,0.230880119,0.315395108,0.013097238,0,0.005887236
1992,1992-04-09,0.00168012,0,0.429370844,0.183610976,0.352080646,0.019179016,0.005180405,0.008897993
1997,1997-05-01,0.002479578,0.026873893,0.317484894,0.173552468,0.448272914,0.0205746,0.002043425,0.008718228
2001,2001-06-07,0.004347664,0.015320955,0.327851448,0.188855566,0.421346803,0.01821405,0.006530538,0.017532976
2005,2005-05-05,0.011214166,0.023069941,0.334449674,0.227871657,0.363669894,0.015695378,0.009813081,0.014216209
2010,2010-05-06,0.023446646,0.031936054,0.371743949,0.237444541,0.299804875,0.017065954,0.009212092,0.00934589
2015,2015-05-07,0.001652666,0.129958362,0.379525862,0.080896799,0.312992863,0.0487017,0.037221958,0.00904979
2017,2017-06-08,0.002750283,0.018951045,0.436110707,0.075663467,0.410811565,0.031184873,0.016343469,0.008184591
2019,2019-12-12,0.004519811,0.02070176,0.448780819,0.118776172,0.330835182,0.039921108,0.026850044,0.009615104
2024,2024-07-04,0.010475894,0.14836793,0.246062888,0.126803338,0.350738195,0.026114805,0.066367734,0.025069216
